A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	class
1	1	0	0	0	0	0	0	1	1	0	0	0
0	0	1	1	0	1	1	0	0	0	0	0	0
0	1	0	1	1	0	1	0	1	1	1	0	1
0	0	1	0	0	1	0	1	0	1	1	1	0
0	1	0	0	0	0	0	1	1	1	1	1	0
0	1	1	1	0	0	0	1	0	1	1	0	1
0	1	1	0	0	0	1	0	0	0	0	0	0
0	0	0	1	1	0	1	1	1	0	0	0	0
0	0	0	0	0	0	1	0	1	0	1	0	0
1	0	1	1	1	0	0	0	1	1	1	0	1
0	1	1	0	1	0	1	1	1	1	1	1	1
0	0	1	1	0	0	1	0	0	1	1	1	0
1	0	1	1	0	0	1	1	0	1	0	0	1
0	0	1	1	0	0	0	0	1	0	1	1	0
1	0	0	0	0	0	1	0	1	1	0	1	0
0	1	1	1	1	1	0	0	1	0	1	0	1
1	0	0	0	1	0	1	1	1	1	1	1	0
1	0	0	0	0	1	1	0	1	1	1	1	0
1	0	0	1	0	1	0	1	1	0	0	1	0
0	0	1	1	0	1	1	0	0	0	0	1	0
1	1	1	0	0	1	1	1	1	1	0	1	1
0	1	1	1	1	1	0	0	0	1	0	1	0
0	0	1	1	0	1	0	1	0	1	1	1	0
1	0	0	1	0	1	1	1	1	0	0	1	0
0	0	1	0	0	0	1	0	0	0	0	0	0
1	0	1	0	0	0	1	1	0	0	0	1	0
1	0	0	0	0	1	0	0	0	1	0	1	0
1	0	0	0	1	1	1	0	0	1	0	1	0
1	0	0	0	0	0	1	1	1	1	1	0	0
0	0	1	1	0	1	0	1	0	0	1	0	0
0	1	1	0	0	0	1	1	1	1	0	1	0
0	0	0	0	1	1	1	1	0	0	0	0	0
0	1	1	0	1	1	1	1	0	0	0	1	0
0	1	0	1	0	0	0	1	0	0	0	1	0
1	0	0	1	0	0	1	1	1	1	0	0	0
0	0	0	1	0	1	1	1	1	1	1	1	0
1	1	0	1	0	1	1	0	0	0	1	1	0
0	0	0	0	1	0	0	1	1	1	0	0	0
0	1	1	1	0	0	1	1	1	1	1	1	0
0	0	0	0	1	0	0	0	0	0	0	0	0
1	0	1	0	1	0	1	1	1	1	0	0	0
1	1	1	1	1	0	1	0	0	0	0	0	0
1	1	1	0	1	0	1	0	1	1	1	0	1
1	0	1	1	1	1	1	1	0	1	1	1	0
0	1	1	0	1	0	0	0	1	0	0	0	0
0	0	1	1	1	0	0	0	0	1	0	0	0
0	1	1	0	0	1	1	0	0	0	0	1	0
0	0	1	0	1	0	0	0	0	0	0	1	1
1	0	0	1	0	1	0	0	0	1	1	1	0
1	1	1	1	1	1	0	1	1	0	0	1	0
0	1	0	1	1	0	0	0	1	0	0	0	0
0	1	1	0	1	0	0	1	0	0	0	0	0
0	0	0	0	0	1	0	1	0	1	1	1	1
0	1	0	0	1	1	1	0	1	0	1	1	0
0	0	0	0	1	1	1	1	1	1	1	0	0
0	0	1	1	1	1	1	0	1	0	1	1	0
0	1	0	0	0	0	1	0	0	1	0	1	0
0	0	1	0	1	1	0	0	0	1	1	0	0
1	0	1	0	1	0	0	0	1	0	0	1	1
0	0	0	1	0	1	0	0	1	1	1	0	1
0	1	0	0	1	0	1	1	0	0	1	1	0
0	0	1	0	1	1	1	0	0	1	1	1	0
1	1	1	0	0	0	1	1	1	1	1	0	0
1	0	1	0	0	0	0	1	1	1	1	0	1
0	1	0	1	1	1	0	0	1	0	0	0	0
0	1	1	1	0	0	1	0	0	1	1	0	1
0	1	0	1	0	1	1	1	0	0	0	0	0
1	0	1	0	1	0	0	0	0	1	0	1	0
1	1	0	0	1	1	1	0	0	1	1	1	1
1	0	1	0	1	0	1	1	0	1	1	0	0
1	1	0	1	0	0	0	0	0	1	1	1	0
1	1	1	0	0	1	0	0	0	1	0	0	0
1	0	1	1	1	0	0	0	1	0	1	0	1
1	1	0	0	1	0	1	1	1	0	0	0	0
1	0	1	0	1	1	1	0	1	1	0	0	0
0	0	1	0	1	1	1	1	1	1	0	0	0
0	0	1	0	1	1	0	1	1	1	0	0	0
